trackName;artistName;endTime;msPlayed;TrackID;Popularity;msDuration;Release_day;Uri;Acousticness;Danceability;Energy;Speechiness;Instrumentalness;Liveness;Valence;Loudeness;Tempo;Time_signature;Key;Mode;uri2;id2
La Notte Vola - RMX (feat. Lorella Cuccarini);Olly;14/03/2024 17:58;142714;7MXfWsAPAFvAuUWid9UxU0;51;142714;10/02/2023;spotify:track:7MXfWsAPAFvAuUWid9UxU0;0.232;0.645;0.708;0.173;0.0;0.0949;0.593;-6.324;139.979;4;1;1;spotify:track:7MXfWsAPAFvAuUWid9UxU0;7MXfWsAPAFvAuUWid9UxU0
A Squarciagola;Olly;14/03/2024 17:56;184022;1broDLBCr9ZXrMW3RjLa5J;56;184022;03/11/2023;spotify:track:1broDLBCr9ZXrMW3RjLa5J;0.205;0.554;0.709;0.0508;0.0;0.359;0.454;-6.338;90.037;4;2;1;spotify:track:1broDLBCr9ZXrMW3RjLa5J;1broDLBCr9ZXrMW3RjLa5J
La Notte Vola - RMX (feat. Lorella Cuccarini);Olly;14/03/2024 17:53;142714;7MXfWsAPAFvAuUWid9UxU0;51;142714;10/02/2023;spotify:track:7MXfWsAPAFvAuUWid9UxU0;0.232;0.645;0.708;0.173;0.0;0.0949;0.593;-6.324;139.979;4;1;1;spotify:track:7MXfWsAPAFvAuUWid9UxU0;7MXfWsAPAFvAuUWid9UxU0
Tutto con te;Olly;14/03/2024 17:53;7857;7lT1FcTvo0yrfpQD2Vs2XR;51;158400;10/02/2023;spotify:track:7lT1FcTvo0yrfpQD2Vs2XR;0.276;0.554;0.66;0.165;0.0;0.159;0.863;-6.694;150.065;4;8;1;spotify:track:7lT1FcTvo0yrfpQD2Vs2XR;7lT1FcTvo0yrfpQD2Vs2XR
Devastante;Olly;14/03/2024 17:50;190122;01XexSX2HDgVDxnnHEBblB;74;190122;08/03/2024;spotify:track:01XexSX2HDgVDxnnHEBblB;0.599;0.668;0.549;0.12;0.0;0.149;0.386;-8.024;115.958;4;3;1;spotify:track:01XexSX2HDgVDxnnHEBblB;01XexSX2HDgVDxnnHEBblB
Devastante;Olly;14/03/2024 17:50;12823;01XexSX2HDgVDxnnHEBblB;74;190122;08/03/2024;spotify:track:01XexSX2HDgVDxnnHEBblB;0.599;0.668;0.549;0.12;0.0;0.149;0.386;-8.024;115.958;4;3;1;spotify:track:01XexSX2HDgVDxnnHEBblB;01XexSX2HDgVDxnnHEBblB
Devastante;Olly;14/03/2024 17:47;372437;01XexSX2HDgVDxnnHEBblB;74;190122;08/03/2024;spotify:track:01XexSX2HDgVDxnnHEBblB;0.599;0.668;0.549;0.12;0.0;0.149;0.386;-8.024;115.958;4;3;1;spotify:track:01XexSX2HDgVDxnnHEBblB;01XexSX2HDgVDxnnHEBblB
Sunroof;Nicky Youre;13/03/2024 09:59;163025;5YqEzk3C5c3UZ1D5fJUlXA;83;163025;09/06/2023;spotify:track:5YqEzk3C5c3UZ1D5fJUlXA;0.352;0.768;0.714;0.0401;0.0;0.15;0.842;-5.11;131.443;4;10;1;spotify:track:5YqEzk3C5c3UZ1D5fJUlXA;5YqEzk3C5c3UZ1D5fJUlXA
Just the Way You Are;Bruno Mars;13/03/2024 09:57;220734;47Slg6LuqLaX0VodpSCvPt;80;220734;05/10/2010;spotify:track:47Slg6LuqLaX0VodpSCvPt;0.0134;0.635;0.841;0.0422;0.0;0.0622;0.424;-5.379;109.021;4;5;1;spotify:track:47Slg6LuqLaX0VodpSCvPt;47Slg6LuqLaX0VodpSCvPt
Lil Boo Thang;Paul Russell;13/03/2024 09:53;114233;0cVyQfDyRnMJ0V3rjjdlU3;83;114233;18/08/2023;spotify:track:0cVyQfDyRnMJ0V3rjjdlU3;0.152;0.85;0.699;0.0776;0.0;0.32;0.915;-3.292;114.481;4;0;1;spotify:track:0cVyQfDyRnMJ0V3rjjdlU3;0cVyQfDyRnMJ0V3rjjdlU3
